,count,rowname_norwegian,type,circ_norwegian,circ_english,group_1,group_2
aggravating_psykiske skadevirkninger,2,aggravating_psykiske skadevirkninger,aggravating,psykiske skadevirkninger,psychological harm,life_health,psychological
aggravating_forårsaket betydelig materiell skade,2,aggravating_forårsaket betydelig materiell skade,aggravating,forårsaket betydelig materiell skade,caused significant material damage,severe,damage
aggravating_ledende og bestemmende rolle,2,aggravating_ledende og bestemmende rolle,aggravating,ledende og bestemmende rolle,leading and decisive role,organized,leadership
aggravating_bevæpning på offentlig sted,2,aggravating_bevæpning på offentlig sted,aggravating,bevæpning på offentlig sted,weapons in a public place,object,weapon
aggravating_planlagt virksomhet,2,aggravating_planlagt virksomhet,aggravating,planlagt virksomhet,planned business,premeditated,
aggravating_større mengde tobakksvarer,2,aggravating_større mengde tobakksvarer,aggravating,større mengde tobakksvarer,greater quantity of tobacco products,DELETE,
aggravating_gjentatte slag,2,aggravating_gjentatte slag,aggravating,gjentatte slag,repeated strokes,repeated_offense,
aggravating_våpenbruk,2,aggravating_våpenbruk,aggravating,våpenbruk,weapon use,object,weapon
aggravating_betydelig usikkerhet og risiko,2,aggravating_betydelig usikkerhet og risiko,aggravating,betydelig usikkerhet og risiko,considerable uncertainty and risk,DELETE,
aggravating_kjøp av ulovlige produkter,2,aggravating_kjøp av ulovlige produkter,aggravating,kjøp av ulovlige produkter,purchase of illegal products,DELETE,
aggravating_forsøk på tyveri,2,aggravating_forsøk på tyveri,aggravating,forsøk på tyveri,attempted theft,violation,attempted_theft
aggravating_høy affeksjonsverdi for de fornærmede,2,aggravating_høy affeksjonsverdi for de fornærmede,aggravating,høy affeksjonsverdi for de fornærmede,high affective value for the aggrieved,DELETE,
aggravating_dopingsovertredelse,2,aggravating_dopingsovertredelse,aggravating,dopingsovertredelse,doping violation,violation,doping
aggravating_utrygghet for beboerne,2,aggravating_utrygghet for beboerne,aggravating,utrygghet for beboerne,insecurity for the residents,DELETE,
aggravating_fornærmede var sterkt preget i etterkant,2,aggravating_fornærmede var sterkt preget i etterkant,aggravating,fornærmede var sterkt preget i etterkant,The victim was greatly affected afterwards,victim,psychological
aggravating_organisert,2,aggravating_organisert,aggravating,organisert,organized,organized,
aggravating_voldsutøvelsen var brutal,2,aggravating_voldsutøvelsen var brutal,aggravating,voldsutøvelsen var brutal,the violence was brutal,life_health,violence
aggravating_brudd på skattebetalingsloven,2,aggravating_brudd på skattebetalingsloven,aggravating,brudd på skattebetalingsloven,violation of the Tax Payment Act,violation,fraud
aggravating_brudd på bokføringsloven,2,aggravating_brudd på bokføringsloven,aggravating,brudd på bokføringsloven,Violation of the Accounting Act,violation,fraud
aggravating_særlig farlige midler,2,aggravating_særlig farlige midler,aggravating,særlig farlige midler,particularly dangerous agents,DELETE,
mitigating_medvirkning til oppbevaring,2,mitigating_medvirkning til oppbevaring,mitigating,medvirkning til oppbevaring,participation in storage,DELETE,
mitigating_samarbeid med politiet,2,mitigating_samarbeid med politiet,mitigating,samarbeid med politiet,cooperation with the police,confession,aided_law_enforcement
mitigating_erkjent de faktiske forhold,2,mitigating_erkjent de faktiske forhold,mitigating,erkjent de faktiske forhold,acknowledged the facts,confession,
mitigating_begrenset vekt av tilståelse,2,mitigating_begrenset vekt av tilståelse,mitigating,begrenset vekt av tilståelse,limited weight of confession,confession,limited
mitigating_ingen konkrete faresituasjoner,2,mitigating_ingen konkrete faresituasjoner,mitigating,ingen konkrete faresituasjoner,no concrete danger situations,DELETE,
mitigating_slaget var fremprovosert,2,mitigating_slaget var fremprovosert,mitigating,slaget var fremprovosert,the battle was provoked,cause,provoked
mitigating_impulsiv handling,2,mitigating_impulsiv handling,mitigating,impulsiv handling,impulsive action,cause,impulsive
mitigating_berettiget harme,2,mitigating_berettiget harme,mitigating,berettiget harme,justified resentment,cause,provoked
mitigating_bistand til politiet,2,mitigating_bistand til politiet,mitigating,bistand til politiet,assistance to the police,confession,aided_law_enforcement
mitigating_ytre press,2,mitigating_ytre press,mitigating,ytre press,external pressure,cause,pressure
mitigating_liggetiden,2,mitigating_liggetiden,mitigating,liggetiden,the length of stay,processing_time,
aggravating_ydmykelse av offer,1,aggravating_ydmykelse av offer,aggravating,ydmykelse av offer,humiliation of victim,severe,abuse
aggravating_særlig krenkende måte,1,aggravating_særlig krenkende måte,aggravating,særlig krenkende måte,particularly offensive manner,DELETE,
aggravating_seksuelle overgrep mot fornærmede i en årrekke,1,aggravating_seksuelle overgrep mot fornærmede i en årrekke,aggravating,seksuelle overgrep mot fornærmede i en årrekke,sexual assaults against victims for a number of years,repeated_offense,
aggravating_overgrep i offerets hjem,1,aggravating_overgrep i offerets hjem,aggravating,overgrep i offerets hjem,abuse in the victim's home,place,private
aggravating_utnyttelse av offerets seksuelle legning,1,aggravating_utnyttelse av offerets seksuelle legning,aggravating,utnyttelse av offerets seksuelle legning,exploitation of the victim's sexual orientation,hate_crime,
aggravating_kyniske,1,aggravating_kyniske,aggravating,kyniske,cynical,DELETE,
aggravating_psykisk skade på offeret,1,aggravating_psykisk skade på offeret,aggravating,psykisk skade på offeret,psychological damage to the victim,severe,psychological
aggravating_målrettede og grovt krenkende overgrep,1,aggravating_målrettede og grovt krenkende overgrep,aggravating,målrettede og grovt krenkende overgrep,targeted and grossly offensive assault,life_health,assault
aggravating_samfunnsskadelig,1,aggravating_samfunnsskadelig,aggravating,samfunnsskadelig,harmful to society,preventative,
aggravating_sentral rolle,1,aggravating_sentral rolle,aggravating,sentral rolle,central role,organized,leadership
aggravating_kjøring over lengre strekning,1,aggravating_kjøring over lengre strekning,aggravating,kjøring over lengre strekning,driving over long distances,driving,distance
aggravating_grovheten i skildringen,1,aggravating_grovheten i skildringen,aggravating,grovheten i skildringen,the coarseness of the depiction,DELETE,
aggravating_bilbrukstjuveri,1,aggravating_bilbrukstjuveri,aggravating,bilbrukstjuveri,car theft,violation,theft
aggravating_betydelig utrygghet,1,aggravating_betydelig utrygghet,aggravating,betydelig utrygghet,significant insecurity,DELETE,
aggravating_særlig straffeskjerpende,1,aggravating_særlig straffeskjerpende,aggravating,særlig straffeskjerpende,particularly aggravated penalties,DELETE,
aggravating_forsøk på skadeverk,1,aggravating_forsøk på skadeverk,aggravating,forsøk på skadeverk,attempted damage,severe,damage
aggravating_særlig tillitsbrudd,1,aggravating_særlig tillitsbrudd,aggravating,særlig tillitsbrudd,especially breach of trust,trust,
aggravating_flere ganger med en kniv,1,aggravating_flere ganger med en kniv,aggravating,flere ganger med en kniv,several times with a knife,object,knife
aggravating_farlig gjenstand,1,aggravating_farlig gjenstand,aggravating,farlig gjenstand,dangerous object,object,dangerous
aggravating_alder,1,aggravating_alder,aggravating,alder,age,DELETE,
aggravating_utnytte en vanskelig livssituasjon,1,aggravating_utnytte en vanskelig livssituasjon,aggravating,utnytte en vanskelig livssituasjon,take advantage of a difficult life situation,victim,vulnerable
aggravating_oppbevaring av ett gram amfetamin og 15 Ksalol-tabletter,1,aggravating_oppbevaring av ett gram amfetamin og 15 Ksalol-tabletter,aggravating,oppbevaring av ett gram amfetamin og 15 Ksalol-tabletter,possession of one gram of amphetamine and 15 Xalol tablets,drugs,possession
aggravating_forsøk på salg,1,aggravating_forsøk på salg,aggravating,forsøk på salg,sales attempt,DELETE,
aggravating_våpenbesittelse,1,aggravating_våpenbesittelse,aggravating,våpenbesittelse,weapon possession,object,weapon
aggravating_vold med stort skadepotensiale,1,aggravating_vold med stort skadepotensiale,aggravating,vold med stort skadepotensiale,violence with great damage potential,life_health,violence
aggravating_vold i fornærmedes hjem,1,aggravating_vold i fornærmedes hjem,aggravating,vold i fornærmedes hjem,violence in the victim's home,place,private
aggravating_rusmisbruk,1,aggravating_rusmisbruk,aggravating,rusmisbruk,substance abuse,drugs,
aggravating_hensynsløs måte,1,aggravating_hensynsløs måte,aggravating,hensynsløs måte,reckless manner,reckless,
aggravating_bruk av motorvogn uten lovlige kjennemerker,1,aggravating_bruk av motorvogn uten lovlige kjennemerker,aggravating,bruk av motorvogn uten lovlige kjennemerker,use of a motor vehicle without legal identification marks,driving,license_plate
aggravating_brudd på straffegjennomføring,1,aggravating_brudd på straffegjennomføring,aggravating,brudd på straffegjennomføring,violation of sentence enforcement,violation,parole
aggravating_kjøring i sentrum,1,aggravating_kjøring i sentrum,aggravating,kjøring i sentrum,driving in the city centre,driving,busy
aggravating_utnyttet sin posisjon,1,aggravating_utnyttet sin posisjon,aggravating,utnyttet sin posisjon,took advantage of his position,DELETE,
aggravating_ikke stanset for politiet,1,aggravating_ikke stanset for politiet,aggravating,ikke stanset for politiet,not stopped for the police,driving,failed_to_stop
aggravating_forlot stedet uten å tilkalle hjelp,1,aggravating_forlot stedet uten å tilkalle hjelp,aggravating,forlot stedet uten å tilkalle hjelp,left the scene without calling for help,violation,negligence
aggravating_utnyttelse av en mindreårig i en sårbar livssituasjon,1,aggravating_utnyttelse av en mindreårig i en sårbar livssituasjon,aggravating,utnyttelse av en mindreårig i en sårbar livssituasjon,exploitation of a minor in a vulnerable life situation,victim,underaged
aggravating_bruk av falske kjennemerker,1,aggravating_bruk av falske kjennemerker,aggravating,bruk av falske kjennemerker,use of false identification marks,violation,identification
aggravating_bruk av mobil under kjøring,1,aggravating_bruk av mobil under kjøring,aggravating,bruk av mobil under kjøring,using a mobile phone while driving,driving,phone
aggravating_motstand mot pågripelse,1,aggravating_motstand mot pågripelse,aggravating,motstand mot pågripelse,resisting arrest,obstruction,arrest
aggravating_ikke levert nærings- og omsetningsoppgaver,1,aggravating_ikke levert nærings- og omsetningsoppgaver,aggravating,ikke levert nærings- og omsetningsoppgaver,business and turnover tasks not submitted,DELETE,
aggravating_trusler på offentlig sted,1,aggravating_trusler på offentlig sted,aggravating,trusler på offentlig sted,threats in a public place,threats,
aggravating_tilfeldig offer,1,aggravating_tilfeldig offer,aggravating,tilfeldig offer,accidental victim,DELETE,
aggravating_brudd på legemiddellovens regler,1,aggravating_brudd på legemiddellovens regler,aggravating,brudd på legemiddellovens regler,violation of the rules of the Medicines Act,violation,medicines_act
aggravating_brudd på tilliten i arbeidsforholdet,1,aggravating_brudd på tilliten i arbeidsforholdet,aggravating,brudd på tilliten i arbeidsforholdet,breach of trust in the employment relationship,trust,
aggravating_manglende innsikt i alvorligheten av handlingene,1,aggravating_manglende innsikt i alvorligheten av handlingene,aggravating,manglende innsikt i alvorligheten av handlingene,lack of insight into the seriousness of the actions,DELETE,
aggravating_faremomentene ved kjøringen,1,aggravating_faremomentene ved kjøringen,aggravating,faremomentene ved kjøringen,the dangers of driving,driving,
aggravating_seksuelle overgrep på internett,1,aggravating_seksuelle overgrep på internett,aggravating,seksuelle overgrep på internett,sexual assault on the internet,DELETE,
aggravating_seksuell omgang,1,aggravating_seksuell omgang,aggravating,seksuell omgang,sexual relations,DELETE,
aggravating_uforsvarlig oppbevaring av våpen,1,aggravating_uforsvarlig oppbevaring av våpen,aggravating,uforsvarlig oppbevaring av våpen,improper storage of weapons,violation,weapon_storage
aggravating_skadepotensial,1,aggravating_skadepotensial,aggravating,skadepotensial,damage potential,severe,damage
aggravating_høy hastighet over lengre avstand,1,aggravating_høy hastighet over lengre avstand,aggravating,høy hastighet over lengre avstand,high speed over a long distance,driving,speed
aggravating_unnlatt å stanse for kontroll,1,aggravating_unnlatt å stanse for kontroll,aggravating,unnlatt å stanse for kontroll,failed to stop for inspection,driving,failed_to_stop
aggravating_begått nattestid i alkoholpåvirket tilstand,1,aggravating_begått nattestid i alkoholpåvirket tilstand,aggravating,begått nattestid i alkoholpåvirket tilstand,committed at night while under the influence of alcohol,intoxication,
aggravating_slag mot ansiktet,1,aggravating_slag mot ansiktet,aggravating,slag mot ansiktet,blow to the face,life_health,violence
aggravating_etterfølgende alkoholnytelse,1,aggravating_etterfølgende alkoholnytelse,aggravating,etterfølgende alkoholnytelse,subsequent alcohol consumption,DELETE,
aggravating_kontakt med kriminelle miljøer,1,aggravating_kontakt med kriminelle miljøer,aggravating,kontakt med kriminelle miljøer,contact with criminal circles,DELETE,
aggravating_psykiske belastninger,1,aggravating_psykiske belastninger,aggravating,psykiske belastninger,psychological burdens,DELETE,
aggravating_kjøring over en lengre strekning med høy hastighet,1,aggravating_kjøring over en lengre strekning med høy hastighet,aggravating,kjøring over en lengre strekning med høy hastighet,driving over a long distance at high speed,driving,speed
aggravating_vurderes for videresalg,1,aggravating_vurderes for videresalg,aggravating,vurderes for videresalg,considered for resale,DELETE,
aggravating_kjøring under prøveløslatelse,1,aggravating_kjøring under prøveløslatelse,aggravating,kjøring under prøveløslatelse,driving while on parole,violation,parole
aggravating_langvarig vold,1,aggravating_langvarig vold,aggravating,langvarig vold,prolonged violence,life_health,violence
aggravating_salg eller forsøk på salg,1,aggravating_salg eller forsøk på salg,aggravating,salg eller forsøk på salg,sale or attempted sale,DELETE,
aggravating_virksomheten hadde skjedd i et beferdet område,1,aggravating_virksomheten hadde skjedd i et beferdet område,aggravating,virksomheten hadde skjedd i et beferdet område,the activity had taken place in a busy area,DELETE,
aggravating_domfelte senere var pågrepet for liknede forhold,1,aggravating_domfelte senere var pågrepet for liknede forhold,aggravating,domfelte senere var pågrepet for liknede forhold,Convicts were later arrested for similar matters,DELETE,
aggravating_planlagt å oppsøke stedet i den hensikt å skremme og true fornærmede,1,aggravating_planlagt å oppsøke stedet i den hensikt å skremme og true fornærmede,aggravating,planlagt å oppsøke stedet i den hensikt å skremme og true fornærmede,planned to visit the place with the intention of intimidating and threatening the victim,threats,
aggravating_forsettlig vold,1,aggravating_forsettlig vold,aggravating,forsettlig vold,intentional violence,life_health,intent
aggravating_stor fare for personskade,1,aggravating_stor fare for personskade,aggravating,stor fare for personskade,great risk of personal injury,DELETE,
aggravating_individualpreventive hensyn,1,aggravating_individualpreventive hensyn,aggravating,individualpreventive hensyn,individual preventive considerations,preventative,
aggravating_sterke allmennpreventive hensyn,1,aggravating_sterke allmennpreventive hensyn,aggravating,sterke allmennpreventive hensyn,strong general preventive considerations,preventative,
aggravating_betydelig risiko for skade,1,aggravating_betydelig risiko for skade,aggravating,betydelig risiko for skade,significant risk of injury,life_health,
aggravating_hindring av offentlig tjenestehandling,1,aggravating_hindring av offentlig tjenestehandling,aggravating,hindring av offentlig tjenestehandling,obstruction of public service act,obstruction,
aggravating_bruk av mobiltelefon,1,aggravating_bruk av mobiltelefon,aggravating,bruk av mobiltelefon,use of a mobile phone,DELETE,
aggravating_flere berusede personer tilstede,1,aggravating_flere berusede personer tilstede,aggravating,flere berusede personer tilstede,several drunken people present,DELETE,
aggravating_fornærmede var ikke klar over at noe ble filmet,1,aggravating_fornærmede var ikke klar over at noe ble filmet,aggravating,fornærmede var ikke klar over at noe ble filmet,the victim was not aware that anything was being filmed,violation,filming
aggravating_tillitsbrudd i forhold til egen ektefelle,1,aggravating_tillitsbrudd i forhold til egen ektefelle,aggravating,tillitsbrudd i forhold til egen ektefelle,breach of trust in relation to one's spouse,trust,
aggravating_stor planmessighet,1,aggravating_stor planmessighet,aggravating,stor planmessighet,great planning,DELETE,
aggravating_betydelig økonomisk beløp,1,aggravating_betydelig økonomisk beløp,aggravating,betydelig økonomisk beløp,significant financial amount,DELETE,
aggravating_alvorlig forbrytelse,1,aggravating_alvorlig forbrytelse,aggravating,alvorlig forbrytelse,serious crime,DELETE,
aggravating_tidligere bøtelagt for legemskrenkelse,1,aggravating_tidligere bøtelagt for legemskrenkelse,aggravating,tidligere bøtelagt for legemskrenkelse,previously fined for bodily harm,repeated_offense,
aggravating_alkoholrelatert vold i det offentlige rom,1,aggravating_alkoholrelatert vold i det offentlige rom,aggravating,alkoholrelatert vold i det offentlige rom,alcohol-related violence in public spaces,DELETE,
aggravating_gjentatte knyttneveslag,1,aggravating_gjentatte knyttneveslag,aggravating,gjentatte knyttneveslag,repeated punches,life_health,violence
aggravating_fornærmede lå på bakken,1,aggravating_fornærmede lå på bakken,aggravating,fornærmede lå på bakken,the victim was lying on the ground,victim,power
aggravating_promille over 2,1,aggravating_promille over 2,aggravating,promille over 2,blood alcohol level above 2,intoxication,
aggravating_skadeverk eller annen rettsstridig adferd mot offentlig tjenestemann,1,aggravating_skadeverk eller annen rettsstridig adferd mot offentlig tjenestemann,aggravating,skadeverk eller annen rettsstridig adferd mot offentlig tjenestemann,damage or other illegal behavior against a public official,violation,official
aggravating_partnerdrap,1,aggravating_partnerdrap,aggravating,partnerdrap,partner murder,victim,relationship
aggravating_farepotensiale,1,aggravating_farepotensiale,aggravating,farepotensiale,danger potential,preventative,
aggravating_filming og deling av krenkende materiale,1,aggravating_filming og deling av krenkende materiale,aggravating,filming og deling av krenkende materiale,filming and sharing offensive material,violation,filming
aggravating_flere slag,1,aggravating_flere slag,aggravating,flere slag,several strokes,life_health,violence
aggravating_seksuelt motivert,1,aggravating_seksuelt motivert,aggravating,seksuelt motivert,sexually motivated,cause,sexual
aggravating_handlingens grovhet,1,aggravating_handlingens grovhet,aggravating,handlingens grovhet,the grossness of the action,DELETE,
aggravating_falsk forklaring overfor offentlig myndighet,1,aggravating_falsk forklaring overfor offentlig myndighet,aggravating,falsk forklaring overfor offentlig myndighet,false statement to a public authority,violation,false_statement
aggravating_ruskjøring,1,aggravating_ruskjøring,aggravating,ruskjøring,drunk driving,driving,intoxication
aggravating_vold i et fryktregime,1,aggravating_vold i et fryktregime,aggravating,vold i et fryktregime,violence in a regime of fear,DELETE,
aggravating_vold over noen timer,1,aggravating_vold over noen timer,aggravating,vold over noen timer,violence over a few hours,life_health,violence
aggravating_bedrageri mot eldre,1,aggravating_bedrageri mot eldre,aggravating,bedrageri mot eldre,Fraud against the elderly,violation,fraud
aggravating_fysiske trusler,1,aggravating_fysiske trusler,aggravating,fysiske trusler,physical threats,threats,
aggravating_krevde betydelige ressurser,1,aggravating_krevde betydelige ressurser,aggravating,krevde betydelige ressurser,required considerable resources,DELETE,
aggravating_bruk av makt,1,aggravating_bruk av makt,aggravating,bruk av makt,use of force,DELETE,
aggravating_produksjon og distribusjon av overgrepsmateriale,1,aggravating_produksjon og distribusjon av overgrepsmateriale,aggravating,produksjon og distribusjon av overgrepsmateriale,production and distribution of abuse material,violation,filming
aggravating_fornærmede skulle føle seg trygg,1,aggravating_fornærmede skulle føle seg trygg,aggravating,fornærmede skulle føle seg trygg,the victim should feel safe,DELETE,
aggravating_gjentatte handlinger,1,aggravating_gjentatte handlinger,aggravating,gjentatte handlinger,repeated actions,repeated_offense,
aggravating_vold og trusler overfor politiet,1,aggravating_vold og trusler overfor politiet,aggravating,vold og trusler overfor politiet,violence and threats to the police,violation,official
aggravating_øvrige forhold fra post II-IV,1,aggravating_øvrige forhold fra post II-IV,aggravating,øvrige forhold fra post II-IV,other conditions from item II-IV,DELETE,
aggravating_kjøring i trafikkert vei,1,aggravating_kjøring i trafikkert vei,aggravating,kjøring i trafikkert vei,driving on a busy road,driving,busy
aggravating_trafikkfarlige situasjoner,1,aggravating_trafikkfarlige situasjoner,aggravating,trafikkfarlige situasjoner,dangerous traffic situations,driving,
aggravating_alvorlig voldsbruk,1,aggravating_alvorlig voldsbruk,aggravating,alvorlig voldsbruk,serious violence,life_health,violence
aggravating_fornærmede gravid,1,aggravating_fornærmede gravid,aggravating,fornærmede gravid,victim pregnant,victim,pregnant
aggravating_risiko for psykiske skader,1,aggravating_risiko for psykiske skader,aggravating,risiko for psykiske skader,risk of psychological damage,life_health,psychological
aggravating_flere doser og større spredningsfare,1,aggravating_flere doser og større spredningsfare,aggravating,flere doser og større spredningsfare,more doses and greater risk of spread,DELETE,
aggravating_skadens omfang,1,aggravating_skadens omfang,aggravating,skadens omfang,the extent of the damage,DELETE,
aggravating_særlig brutal metode,1,aggravating_særlig brutal metode,aggravating,særlig brutal metode,particularly brutal method,life_health,violence
aggravating_overlagt drap,1,aggravating_overlagt drap,aggravating,overlagt drap,premeditated murder,premeditated,murder
aggravating_bruk av farlig redskap,1,aggravating_bruk av farlig redskap,aggravating,bruk av farlig redskap,use of dangerous equipment,object,dangerous
aggravating_handlinger i fornærmedes eget hjem,1,aggravating_handlinger i fornærmedes eget hjem,aggravating,handlinger i fornærmedes eget hjem,actions in the victim's own home,place,private
aggravating_tidligere straffet for vold,1,aggravating_tidligere straffet for vold,aggravating,tidligere straffet for vold,previously punished for violence,repeated_offense,
aggravating_fotografering i intim situasjon,1,aggravating_fotografering i intim situasjon,aggravating,fotografering i intim situasjon,photography in intimate situations,violation,filming
aggravating_aggressiv kjøreadferd,1,aggravating_aggressiv kjøreadferd,aggravating,aggressiv kjøreadferd,aggressive driving behaviour,driving,reckless
aggravating_økonomisk kriminalitet i betydelig omfang,1,aggravating_økonomisk kriminalitet i betydelig omfang,aggravating,økonomisk kriminalitet i betydelig omfang,financial crime on a significant scale,violation,fraud
aggravating_import og sammenstilling av våpendeler til funksjonsdyktige våpen uten offentlig kontroll,1,aggravating_import og sammenstilling av våpendeler til funksjonsdyktige våpen uten offentlig kontroll,aggravating,import og sammenstilling av våpendeler til funksjonsdyktige våpen uten offentlig kontroll,import and assembly of weapon parts into functional weapons without official control,violation,weapon_production
aggravating_omsetning av ikke tilstrekkelig plomberte våpen,1,aggravating_omsetning av ikke tilstrekkelig plomberte våpen,aggravating,omsetning av ikke tilstrekkelig plomberte våpen,sale of insufficiently sealed weapons,violation,weapon_sale
aggravating_sårbar fornærmet,1,aggravating_sårbar fornærmet,aggravating,sårbar fornærmet,vulnerable offended,victim,vulnerable
aggravating_kroppsskade,1,aggravating_kroppsskade,aggravating,kroppsskade,bodily harm,life_health,
aggravating_uforsvarlig oppbevaring over lang tid,1,aggravating_uforsvarlig oppbevaring over lang tid,aggravating,uforsvarlig oppbevaring over lang tid,improper storage over a long period of time,DELETE,
aggravating_produksjon av seksualisert materiale,1,aggravating_produksjon av seksualisert materiale,aggravating,produksjon av seksualisert materiale,production of sexualized material,violation,filming
aggravating_falsk forklaring til offentlig myndighet,1,aggravating_falsk forklaring til offentlig myndighet,aggravating,falsk forklaring til offentlig myndighet,false statement to public authority,violation,false_statement
aggravating_mishandling mot forsvarsløs person,1,aggravating_mishandling mot forsvarsløs person,aggravating,mishandling mot forsvarsløs person,mistreatment of a defenseless person,victim,power
aggravating_ydmykende elementer,1,aggravating_ydmykende elementer,aggravating,ydmykende elementer,humiliating elements,severe,abuse
aggravating_rusutløst vold,1,aggravating_rusutløst vold,aggravating,rusutløst vold,drug-induced violence,drugs,
aggravating_psykisk mishandling,1,aggravating_psykisk mishandling,aggravating,psykisk mishandling,psychological abuse,life_health,psychological
aggravating_ran av apotek,1,aggravating_ran av apotek,aggravating,ran av apotek,pharmacy robbery,violation,robbery
aggravating_trakassering,1,aggravating_trakassering,aggravating,trakassering,harassment,threats,harassment
aggravating_manglende tillatelse til å erverve ammunisjon,1,aggravating_manglende tillatelse til å erverve ammunisjon,aggravating,manglende tillatelse til å erverve ammunisjon,lack of permission to acquire ammunition,violation,weapon_possession
aggravating_manglende våpentillatelse,1,aggravating_manglende våpentillatelse,aggravating,manglende våpentillatelse,lack of weapons permit,violation,weapon_possession
aggravating_våpen og ammunisjon ikke forsvarlig innelåst,1,aggravating_våpen og ammunisjon ikke forsvarlig innelåst,aggravating,våpen og ammunisjon ikke forsvarlig innelåst,weapons and ammunition not properly locked up,violation,weapon_storage
aggravating_ulovlig innførsel av kniver,1,aggravating_ulovlig innførsel av kniver,aggravating,ulovlig innførsel av kniver,illegal importation of knives,violation,weapon_import
aggravating_mishandling over lang tid,1,aggravating_mishandling over lang tid,aggravating,mishandling over lang tid,abuse over a long period of time,severe,long_time
aggravating_brudd på fartsgrensen,1,aggravating_brudd på fartsgrensen,aggravating,brudd på fartsgrensen,violation of the speed limit,driving,speed
aggravating_planlagt og overveid kriminalitet,1,aggravating_planlagt og overveid kriminalitet,aggravating,planlagt og overveid kriminalitet,planned and premeditated crime,premeditated,
aggravating_kjøring på tettbygd område,1,aggravating_kjøring på tettbygd område,aggravating,kjøring på tettbygd område,driving in densely built-up areas,driving,busy
aggravating_utnyttelse av sårbare personer,1,aggravating_utnyttelse av sårbare personer,aggravating,utnyttelse av sårbare personer,exploitation of vulnerable persons,victim,vulnerable
aggravating_betydelig strekning ruspåvirket,1,aggravating_betydelig strekning ruspåvirket,aggravating,betydelig strekning ruspåvirket,significant stretch under the influence of drugs,drugs,
aggravating_kjøring på tett trafikkert sted,1,aggravating_kjøring på tett trafikkert sted,aggravating,kjøring på tett trafikkert sted,driving in a heavily trafficked area,driving,busy
aggravating_utnyttet et tillitsforhold,1,aggravating_utnyttet et tillitsforhold,aggravating,utnyttet et tillitsforhold,exploited a relationship of trust,trust,
aggravating_seksuelle handlinger,1,aggravating_seksuelle handlinger,aggravating,seksuelle handlinger,sexual acts,DELETE,
aggravating_barn under ti år,1,aggravating_barn under ti år,aggravating,barn under ti år,children under the age of ten,victim,underaged
aggravating_incest,1,aggravating_incest,aggravating,incest,incest,violation,incest
aggravating_seksuell handling under særdeles skjerpende omstendigheter,1,aggravating_seksuell handling under særdeles skjerpende omstendigheter,aggravating,seksuell handling under særdeles skjerpende omstendigheter,sexual act under particularly aggravating circumstances,DELETE,
aggravating_produksjon og besittelse av overgrepsmateriale,1,aggravating_produksjon og besittelse av overgrepsmateriale,aggravating,produksjon og besittelse av overgrepsmateriale,production and possession of abuse material,violation,filming
aggravating_bruk av gjenstander til seksuell stimulering,1,aggravating_bruk av gjenstander til seksuell stimulering,aggravating,bruk av gjenstander til seksuell stimulering,use of objects for sexual stimulation,violation,objects_sexual
aggravating_seksuell omgang med stebarn,1,aggravating_seksuell omgang med stebarn,aggravating,seksuell omgang med stebarn,sexual intercourse with stepchildren,violation,incest
aggravating_unnlot å stoppe for politikontroll,1,aggravating_unnlot å stoppe for politikontroll,aggravating,unnlot å stoppe for politikontroll,failed to stop for a police check,driving,failed_to_stop
aggravating_fartsovertredelser,1,aggravating_fartsovertredelser,aggravating,fartsovertredelser,speeding offences,driving,speed
aggravating_pengene stammer fra narkotikasalg,1,aggravating_pengene stammer fra narkotikasalg,aggravating,pengene stammer fra narkotikasalg,the money comes from drug sales,drugs,sale
aggravating_vold/trusler mot offentlig tjenestemann,1,aggravating_vold/trusler mot offentlig tjenestemann,aggravating,vold/trusler mot offentlig tjenestemann,violence/threats against public officials,violation,official
aggravating_yrkesgruppe utsatt for vold,1,aggravating_yrkesgruppe utsatt for vold,aggravating,yrkesgruppe utsatt for vold,occupational group exposed to violence,DELETE,
aggravating_grovheten i overgrep,1,aggravating_grovheten i overgrep,aggravating,grovheten i overgrep,the severity of the assault,DELETE,
aggravating_lang distanse,1,aggravating_lang distanse,aggravating,lang distanse,long distance,DELETE,
aggravating_fremsatt trussel,1,aggravating_fremsatt trussel,aggravating,fremsatt trussel,made threat,threats,
aggravating_vold mot særskilt utsatt yrkesgruppe,1,aggravating_vold mot særskilt utsatt yrkesgruppe,aggravating,vold mot særskilt utsatt yrkesgruppe,violence against a particularly vulnerable occupational group,victim,vulnerable
aggravating_sentral rolle i straffbar virksomhet,1,aggravating_sentral rolle i straffbar virksomhet,aggravating,sentral rolle i straffbar virksomhet,central role in criminal activity,organized,
aggravating_vold som reaksjon på anmeldelse,1,aggravating_vold som reaksjon på anmeldelse,aggravating,vold som reaksjon på anmeldelse,violence in response to notification,DELETE,
aggravating_forledelse,1,aggravating_forledelse,aggravating,forledelse,front management,DELETE,
aggravating_spredning,1,aggravating_spredning,aggravating,spredning,spread,DELETE,
aggravating_seksuell omgang med dyr,1,aggravating_seksuell omgang med dyr,aggravating,seksuell omgang med dyr,sexual intercourse with animals,violation,bestiality
aggravating_lav alder,1,aggravating_lav alder,aggravating,lav alder,low age,DELETE,
