"","count","rowname_norwegian","type","circ_norwegian"
"aggravating_flere personer i bilen",2,"aggravating_flere personer i bilen","aggravating","flere personer i bilen"
"aggravating_øvrige forhold i post II – IV",2,"aggravating_øvrige forhold i post II – IV","aggravating","øvrige forhold i post II – IV"
"aggravating_salg av betydelig mengde narkotika",2,"aggravating_salg av betydelig mengde narkotika","aggravating","salg av betydelig mengde narkotika"
"aggravating_kjøring uten lovlige kjennemerker",2,"aggravating_kjøring uten lovlige kjennemerker","aggravating","kjøring uten lovlige kjennemerker"
"aggravating_unndratt seg politikontroll",2,"aggravating_unndratt seg politikontroll","aggravating","unndratt seg politikontroll"
"aggravating_underslag",2,"aggravating_underslag","aggravating","underslag"
"aggravating_mye trafikk",2,"aggravating_mye trafikk","aggravating","mye trafikk"
"aggravating_fornærmede var ung",2,"aggravating_fornærmede var ung","aggravating","fornærmede var ung"
"aggravating_betydelige følger for fornærmede i ettertid",2,"aggravating_betydelige følger for fornærmede i ettertid","aggravating","betydelige følger for fornærmede i ettertid"
"aggravating_hovedmann til oppbevaringen",2,"aggravating_hovedmann til oppbevaringen","aggravating","hovedmann til oppbevaringen"
"aggravating_tillitsperson",2,"aggravating_tillitsperson","aggravating","tillitsperson"
"aggravating_slag mot hodet",2,"aggravating_slag mot hodet","aggravating","slag mot hodet"
"aggravating_legemsbeskadigelse",2,"aggravating_legemsbeskadigelse","aggravating","legemsbeskadigelse"
"aggravating_ledet utspørringen",2,"aggravating_ledet utspørringen","aggravating","ledet utspørringen"
"aggravating_lederrolle under frihetsberøvelse",2,"aggravating_lederrolle under frihetsberøvelse","aggravating","lederrolle under frihetsberøvelse"
"aggravating_kjøring i prøvetiden for tidligere domfellelse",2,"aggravating_kjøring i prøvetiden for tidligere domfellelse","aggravating","kjøring i prøvetiden for tidligere domfellelse"
"aggravating_psykiske skadevirkninger",2,"aggravating_psykiske skadevirkninger","aggravating","psykiske skadevirkninger"
"aggravating_forårsaket betydelig materiell skade",2,"aggravating_forårsaket betydelig materiell skade","aggravating","forårsaket betydelig materiell skade"
"aggravating_ledende og bestemmende rolle",2,"aggravating_ledende og bestemmende rolle","aggravating","ledende og bestemmende rolle"
"aggravating_bevæpning på offentlig sted",2,"aggravating_bevæpning på offentlig sted","aggravating","bevæpning på offentlig sted"
"aggravating_planlagt virksomhet",2,"aggravating_planlagt virksomhet","aggravating","planlagt virksomhet"
"aggravating_større mengde tobakksvarer",2,"aggravating_større mengde tobakksvarer","aggravating","større mengde tobakksvarer"
"aggravating_gjentatte slag",2,"aggravating_gjentatte slag","aggravating","gjentatte slag"
"aggravating_våpenbruk",2,"aggravating_våpenbruk","aggravating","våpenbruk"
"aggravating_betydelig usikkerhet og risiko",2,"aggravating_betydelig usikkerhet og risiko","aggravating","betydelig usikkerhet og risiko"
"aggravating_kjøp av ulovlige produkter",2,"aggravating_kjøp av ulovlige produkter","aggravating","kjøp av ulovlige produkter"
"aggravating_forsøk på tyveri",2,"aggravating_forsøk på tyveri","aggravating","forsøk på tyveri"
"aggravating_høy affeksjonsverdi for de fornærmede",2,"aggravating_høy affeksjonsverdi for de fornærmede","aggravating","høy affeksjonsverdi for de fornærmede"
"aggravating_dopingsovertredelse",2,"aggravating_dopingsovertredelse","aggravating","dopingsovertredelse"
"aggravating_utrygghet for beboerne",2,"aggravating_utrygghet for beboerne","aggravating","utrygghet for beboerne"
"aggravating_fornærmede var sterkt preget i etterkant",2,"aggravating_fornærmede var sterkt preget i etterkant","aggravating","fornærmede var sterkt preget i etterkant"
"aggravating_organisert",2,"aggravating_organisert","aggravating","organisert"
"aggravating_voldsutøvelsen var brutal",2,"aggravating_voldsutøvelsen var brutal","aggravating","voldsutøvelsen var brutal"
"aggravating_brudd på skattebetalingsloven",2,"aggravating_brudd på skattebetalingsloven","aggravating","brudd på skattebetalingsloven"
"aggravating_brudd på bokføringsloven",2,"aggravating_brudd på bokføringsloven","aggravating","brudd på bokføringsloven"
"aggravating_særlig farlige midler",2,"aggravating_særlig farlige midler","aggravating","særlig farlige midler"
"mitigating_medvirkning til oppbevaring",2,"mitigating_medvirkning til oppbevaring","mitigating","medvirkning til oppbevaring"
"mitigating_samarbeid med politiet",2,"mitigating_samarbeid med politiet","mitigating","samarbeid med politiet"
"mitigating_erkjent de faktiske forhold",2,"mitigating_erkjent de faktiske forhold","mitigating","erkjent de faktiske forhold"
"mitigating_begrenset vekt av tilståelse",2,"mitigating_begrenset vekt av tilståelse","mitigating","begrenset vekt av tilståelse"
"mitigating_ingen konkrete faresituasjoner",2,"mitigating_ingen konkrete faresituasjoner","mitigating","ingen konkrete faresituasjoner"
"mitigating_slaget var fremprovosert",2,"mitigating_slaget var fremprovosert","mitigating","slaget var fremprovosert"
"mitigating_impulsiv handling",2,"mitigating_impulsiv handling","mitigating","impulsiv handling"
"mitigating_berettiget harme",2,"mitigating_berettiget harme","mitigating","berettiget harme"
"mitigating_bistand til politiet",2,"mitigating_bistand til politiet","mitigating","bistand til politiet"
"mitigating_ytre press",2,"mitigating_ytre press","mitigating","ytre press"
"mitigating_liggetiden",2,"mitigating_liggetiden","mitigating","liggetiden"
"aggravating_ydmykelse av offer",1,"aggravating_ydmykelse av offer","aggravating","ydmykelse av offer"
"aggravating_særlig krenkende måte",1,"aggravating_særlig krenkende måte","aggravating","særlig krenkende måte"
"aggravating_seksuelle overgrep mot fornærmede i en årrekke",1,"aggravating_seksuelle overgrep mot fornærmede i en årrekke","aggravating","seksuelle overgrep mot fornærmede i en årrekke"
"aggravating_overgrep i offerets hjem",1,"aggravating_overgrep i offerets hjem","aggravating","overgrep i offerets hjem"
"aggravating_utnyttelse av offerets seksuelle legning",1,"aggravating_utnyttelse av offerets seksuelle legning","aggravating","utnyttelse av offerets seksuelle legning"
"aggravating_kyniske",1,"aggravating_kyniske","aggravating","kyniske"
"aggravating_psykisk skade på offeret",1,"aggravating_psykisk skade på offeret","aggravating","psykisk skade på offeret"
"aggravating_målrettede og grovt krenkende overgrep",1,"aggravating_målrettede og grovt krenkende overgrep","aggravating","målrettede og grovt krenkende overgrep"
"aggravating_samfunnsskadelig",1,"aggravating_samfunnsskadelig","aggravating","samfunnsskadelig"
"aggravating_sentral rolle",1,"aggravating_sentral rolle","aggravating","sentral rolle"
"aggravating_kjøring over lengre strekning",1,"aggravating_kjøring over lengre strekning","aggravating","kjøring over lengre strekning"
"aggravating_grovheten i skildringen",1,"aggravating_grovheten i skildringen","aggravating","grovheten i skildringen"
"aggravating_bilbrukstjuveri",1,"aggravating_bilbrukstjuveri","aggravating","bilbrukstjuveri"
"aggravating_betydelig utrygghet",1,"aggravating_betydelig utrygghet","aggravating","betydelig utrygghet"
"aggravating_særlig straffeskjerpende",1,"aggravating_særlig straffeskjerpende","aggravating","særlig straffeskjerpende"
"aggravating_forsøk på skadeverk",1,"aggravating_forsøk på skadeverk","aggravating","forsøk på skadeverk"
"aggravating_særlig tillitsbrudd",1,"aggravating_særlig tillitsbrudd","aggravating","særlig tillitsbrudd"
"aggravating_flere ganger med en kniv",1,"aggravating_flere ganger med en kniv","aggravating","flere ganger med en kniv"
"aggravating_farlig gjenstand",1,"aggravating_farlig gjenstand","aggravating","farlig gjenstand"
"aggravating_alder",1,"aggravating_alder","aggravating","alder"
"aggravating_utnytte en vanskelig livssituasjon",1,"aggravating_utnytte en vanskelig livssituasjon","aggravating","utnytte en vanskelig livssituasjon"
"aggravating_oppbevaring av ett gram amfetamin og 15 Ksalol-tabletter",1,"aggravating_oppbevaring av ett gram amfetamin og 15 Ksalol-tabletter","aggravating","oppbevaring av ett gram amfetamin og 15 Ksalol-tabletter"
"aggravating_forsøk på salg",1,"aggravating_forsøk på salg","aggravating","forsøk på salg"
"aggravating_våpenbesittelse",1,"aggravating_våpenbesittelse","aggravating","våpenbesittelse"
"aggravating_vold med stort skadepotensiale",1,"aggravating_vold med stort skadepotensiale","aggravating","vold med stort skadepotensiale"
"aggravating_vold i fornærmedes hjem",1,"aggravating_vold i fornærmedes hjem","aggravating","vold i fornærmedes hjem"
"aggravating_rusmisbruk",1,"aggravating_rusmisbruk","aggravating","rusmisbruk"
"aggravating_hensynsløs måte",1,"aggravating_hensynsløs måte","aggravating","hensynsløs måte"
"aggravating_bruk av motorvogn uten lovlige kjennemerker",1,"aggravating_bruk av motorvogn uten lovlige kjennemerker","aggravating","bruk av motorvogn uten lovlige kjennemerker"
"aggravating_brudd på straffegjennomføring",1,"aggravating_brudd på straffegjennomføring","aggravating","brudd på straffegjennomføring"
"aggravating_kjøring i sentrum",1,"aggravating_kjøring i sentrum","aggravating","kjøring i sentrum"
"aggravating_utnyttet sin posisjon",1,"aggravating_utnyttet sin posisjon","aggravating","utnyttet sin posisjon"
"aggravating_ikke stanset for politiet",1,"aggravating_ikke stanset for politiet","aggravating","ikke stanset for politiet"
"aggravating_forlot stedet uten å tilkalle hjelp",1,"aggravating_forlot stedet uten å tilkalle hjelp","aggravating","forlot stedet uten å tilkalle hjelp"
"aggravating_utnyttelse av en mindreårig i en sårbar livssituasjon",1,"aggravating_utnyttelse av en mindreårig i en sårbar livssituasjon","aggravating","utnyttelse av en mindreårig i en sårbar livssituasjon"
"aggravating_bruk av falske kjennemerker",1,"aggravating_bruk av falske kjennemerker","aggravating","bruk av falske kjennemerker"
"aggravating_bruk av mobil under kjøring",1,"aggravating_bruk av mobil under kjøring","aggravating","bruk av mobil under kjøring"
"aggravating_motstand mot pågripelse",1,"aggravating_motstand mot pågripelse","aggravating","motstand mot pågripelse"
"aggravating_ikke levert nærings- og omsetningsoppgaver",1,"aggravating_ikke levert nærings- og omsetningsoppgaver","aggravating","ikke levert nærings- og omsetningsoppgaver"
"aggravating_trusler på offentlig sted",1,"aggravating_trusler på offentlig sted","aggravating","trusler på offentlig sted"
"aggravating_tilfeldig offer",1,"aggravating_tilfeldig offer","aggravating","tilfeldig offer"
"aggravating_brudd på legemiddellovens regler",1,"aggravating_brudd på legemiddellovens regler","aggravating","brudd på legemiddellovens regler"
"aggravating_brudd på tilliten i arbeidsforholdet",1,"aggravating_brudd på tilliten i arbeidsforholdet","aggravating","brudd på tilliten i arbeidsforholdet"
"aggravating_manglende innsikt i alvorligheten av handlingene",1,"aggravating_manglende innsikt i alvorligheten av handlingene","aggravating","manglende innsikt i alvorligheten av handlingene"
"aggravating_faremomentene ved kjøringen",1,"aggravating_faremomentene ved kjøringen","aggravating","faremomentene ved kjøringen"
"aggravating_seksuelle overgrep på internett",1,"aggravating_seksuelle overgrep på internett","aggravating","seksuelle overgrep på internett"
"aggravating_seksuell omgang",1,"aggravating_seksuell omgang","aggravating","seksuell omgang"
"aggravating_uforsvarlig oppbevaring av våpen",1,"aggravating_uforsvarlig oppbevaring av våpen","aggravating","uforsvarlig oppbevaring av våpen"
"aggravating_skadepotensial",1,"aggravating_skadepotensial","aggravating","skadepotensial"
"aggravating_høy hastighet over lengre avstand",1,"aggravating_høy hastighet over lengre avstand","aggravating","høy hastighet over lengre avstand"
"aggravating_unnlatt å stanse for kontroll",1,"aggravating_unnlatt å stanse for kontroll","aggravating","unnlatt å stanse for kontroll"
"aggravating_begått nattestid i alkoholpåvirket tilstand",1,"aggravating_begått nattestid i alkoholpåvirket tilstand","aggravating","begått nattestid i alkoholpåvirket tilstand"
"aggravating_slag mot ansiktet",1,"aggravating_slag mot ansiktet","aggravating","slag mot ansiktet"
"aggravating_etterfølgende alkoholnytelse",1,"aggravating_etterfølgende alkoholnytelse","aggravating","etterfølgende alkoholnytelse"
"aggravating_kontakt med kriminelle miljøer",1,"aggravating_kontakt med kriminelle miljøer","aggravating","kontakt med kriminelle miljøer"
"aggravating_psykiske belastninger",1,"aggravating_psykiske belastninger","aggravating","psykiske belastninger"
"aggravating_kjøring over en lengre strekning med høy hastighet",1,"aggravating_kjøring over en lengre strekning med høy hastighet","aggravating","kjøring over en lengre strekning med høy hastighet"
"aggravating_vurderes for videresalg",1,"aggravating_vurderes for videresalg","aggravating","vurderes for videresalg"
"aggravating_kjøring under prøveløslatelse",1,"aggravating_kjøring under prøveløslatelse","aggravating","kjøring under prøveløslatelse"
"aggravating_langvarig vold",1,"aggravating_langvarig vold","aggravating","langvarig vold"
"aggravating_salg eller forsøk på salg",1,"aggravating_salg eller forsøk på salg","aggravating","salg eller forsøk på salg"
"aggravating_virksomheten hadde skjedd i et beferdet område",1,"aggravating_virksomheten hadde skjedd i et beferdet område","aggravating","virksomheten hadde skjedd i et beferdet område"
"aggravating_domfelte senere var pågrepet for liknede forhold",1,"aggravating_domfelte senere var pågrepet for liknede forhold","aggravating","domfelte senere var pågrepet for liknede forhold"
"aggravating_planlagt å oppsøke stedet i den hensikt å skremme og true fornærmede",1,"aggravating_planlagt å oppsøke stedet i den hensikt å skremme og true fornærmede","aggravating","planlagt å oppsøke stedet i den hensikt å skremme og true fornærmede"
"aggravating_forsettlig vold",1,"aggravating_forsettlig vold","aggravating","forsettlig vold"
"aggravating_stor fare for personskade",1,"aggravating_stor fare for personskade","aggravating","stor fare for personskade"
"aggravating_individualpreventive hensyn",1,"aggravating_individualpreventive hensyn","aggravating","individualpreventive hensyn"
"aggravating_sterke allmennpreventive hensyn",1,"aggravating_sterke allmennpreventive hensyn","aggravating","sterke allmennpreventive hensyn"
"aggravating_betydelig risiko for skade",1,"aggravating_betydelig risiko for skade","aggravating","betydelig risiko for skade"
"aggravating_hindring av offentlig tjenestehandling",1,"aggravating_hindring av offentlig tjenestehandling","aggravating","hindring av offentlig tjenestehandling"
"aggravating_bruk av mobiltelefon",1,"aggravating_bruk av mobiltelefon","aggravating","bruk av mobiltelefon"
"aggravating_flere berusede personer tilstede",1,"aggravating_flere berusede personer tilstede","aggravating","flere berusede personer tilstede"
"aggravating_fornærmede var ikke klar over at noe ble filmet",1,"aggravating_fornærmede var ikke klar over at noe ble filmet","aggravating","fornærmede var ikke klar over at noe ble filmet"
"aggravating_tillitsbrudd i forhold til egen ektefelle",1,"aggravating_tillitsbrudd i forhold til egen ektefelle","aggravating","tillitsbrudd i forhold til egen ektefelle"
"aggravating_stor planmessighet",1,"aggravating_stor planmessighet","aggravating","stor planmessighet"
"aggravating_betydelig økonomisk beløp",1,"aggravating_betydelig økonomisk beløp","aggravating","betydelig økonomisk beløp"
"aggravating_alvorlig forbrytelse",1,"aggravating_alvorlig forbrytelse","aggravating","alvorlig forbrytelse"
"aggravating_tidligere bøtelagt for legemskrenkelse",1,"aggravating_tidligere bøtelagt for legemskrenkelse","aggravating","tidligere bøtelagt for legemskrenkelse"
"aggravating_alkoholrelatert vold i det offentlige rom",1,"aggravating_alkoholrelatert vold i det offentlige rom","aggravating","alkoholrelatert vold i det offentlige rom"
"aggravating_gjentatte knyttneveslag",1,"aggravating_gjentatte knyttneveslag","aggravating","gjentatte knyttneveslag"
"aggravating_fornærmede lå på bakken",1,"aggravating_fornærmede lå på bakken","aggravating","fornærmede lå på bakken"
"aggravating_promille over 2",1,"aggravating_promille over 2","aggravating","promille over 2"
"aggravating_skadeverk eller annen rettsstridig adferd mot offentlig tjenestemann",1,"aggravating_skadeverk eller annen rettsstridig adferd mot offentlig tjenestemann","aggravating","skadeverk eller annen rettsstridig adferd mot offentlig tjenestemann"
"aggravating_partnerdrap",1,"aggravating_partnerdrap","aggravating","partnerdrap"
"aggravating_farepotensiale",1,"aggravating_farepotensiale","aggravating","farepotensiale"
"aggravating_filming og deling av krenkende materiale",1,"aggravating_filming og deling av krenkende materiale","aggravating","filming og deling av krenkende materiale"
"aggravating_flere slag",1,"aggravating_flere slag","aggravating","flere slag"
"aggravating_seksuelt motivert",1,"aggravating_seksuelt motivert","aggravating","seksuelt motivert"
"aggravating_handlingens grovhet",1,"aggravating_handlingens grovhet","aggravating","handlingens grovhet"
"aggravating_falsk forklaring overfor offentlig myndighet",1,"aggravating_falsk forklaring overfor offentlig myndighet","aggravating","falsk forklaring overfor offentlig myndighet"
"aggravating_ruskjøring",1,"aggravating_ruskjøring","aggravating","ruskjøring"
"aggravating_vold i et fryktregime",1,"aggravating_vold i et fryktregime","aggravating","vold i et fryktregime"
"aggravating_vold over noen timer",1,"aggravating_vold over noen timer","aggravating","vold over noen timer"
"aggravating_bedrageri mot eldre",1,"aggravating_bedrageri mot eldre","aggravating","bedrageri mot eldre"
"aggravating_fysiske trusler",1,"aggravating_fysiske trusler","aggravating","fysiske trusler"
"aggravating_krevde betydelige ressurser",1,"aggravating_krevde betydelige ressurser","aggravating","krevde betydelige ressurser"
"aggravating_bruk av makt",1,"aggravating_bruk av makt","aggravating","bruk av makt"
"aggravating_produksjon og distribusjon av overgrepsmateriale",1,"aggravating_produksjon og distribusjon av overgrepsmateriale","aggravating","produksjon og distribusjon av overgrepsmateriale"
"aggravating_fornærmede skulle føle seg trygg",1,"aggravating_fornærmede skulle føle seg trygg","aggravating","fornærmede skulle føle seg trygg"
"aggravating_gjentatte handlinger",1,"aggravating_gjentatte handlinger","aggravating","gjentatte handlinger"
"aggravating_vold og trusler overfor politiet",1,"aggravating_vold og trusler overfor politiet","aggravating","vold og trusler overfor politiet"
"aggravating_øvrige forhold fra post II-IV",1,"aggravating_øvrige forhold fra post II-IV","aggravating","øvrige forhold fra post II-IV"
"aggravating_kjøring i trafikkert vei",1,"aggravating_kjøring i trafikkert vei","aggravating","kjøring i trafikkert vei"
"aggravating_trafikkfarlige situasjoner",1,"aggravating_trafikkfarlige situasjoner","aggravating","trafikkfarlige situasjoner"
"aggravating_alvorlig voldsbruk",1,"aggravating_alvorlig voldsbruk","aggravating","alvorlig voldsbruk"
"aggravating_fornærmede gravid",1,"aggravating_fornærmede gravid","aggravating","fornærmede gravid"
"aggravating_risiko for psykiske skader",1,"aggravating_risiko for psykiske skader","aggravating","risiko for psykiske skader"
"aggravating_flere doser og større spredningsfare",1,"aggravating_flere doser og større spredningsfare","aggravating","flere doser og større spredningsfare"
"aggravating_skadens omfang",1,"aggravating_skadens omfang","aggravating","skadens omfang"
"aggravating_særlig brutal metode",1,"aggravating_særlig brutal metode","aggravating","særlig brutal metode"
"aggravating_overlagt drap",1,"aggravating_overlagt drap","aggravating","overlagt drap"
"aggravating_bruk av farlig redskap",1,"aggravating_bruk av farlig redskap","aggravating","bruk av farlig redskap"
"aggravating_handlinger i fornærmedes eget hjem",1,"aggravating_handlinger i fornærmedes eget hjem","aggravating","handlinger i fornærmedes eget hjem"
"aggravating_tidligere straffet for vold",1,"aggravating_tidligere straffet for vold","aggravating","tidligere straffet for vold"
"aggravating_fotografering i intim situasjon",1,"aggravating_fotografering i intim situasjon","aggravating","fotografering i intim situasjon"
"aggravating_aggressiv kjøreadferd",1,"aggravating_aggressiv kjøreadferd","aggravating","aggressiv kjøreadferd"
"aggravating_økonomisk kriminalitet i betydelig omfang",1,"aggravating_økonomisk kriminalitet i betydelig omfang","aggravating","økonomisk kriminalitet i betydelig omfang"
"aggravating_import og sammenstilling av våpendeler til funksjonsdyktige våpen uten offentlig kontroll",1,"aggravating_import og sammenstilling av våpendeler til funksjonsdyktige våpen uten offentlig kontroll","aggravating","import og sammenstilling av våpendeler til funksjonsdyktige våpen uten offentlig kontroll"
"aggravating_omsetning av ikke tilstrekkelig plomberte våpen",1,"aggravating_omsetning av ikke tilstrekkelig plomberte våpen","aggravating","omsetning av ikke tilstrekkelig plomberte våpen"
"aggravating_sårbar fornærmet",1,"aggravating_sårbar fornærmet","aggravating","sårbar fornærmet"
"aggravating_kroppsskade",1,"aggravating_kroppsskade","aggravating","kroppsskade"
"aggravating_uforsvarlig oppbevaring over lang tid",1,"aggravating_uforsvarlig oppbevaring over lang tid","aggravating","uforsvarlig oppbevaring over lang tid"
"aggravating_produksjon av seksualisert materiale",1,"aggravating_produksjon av seksualisert materiale","aggravating","produksjon av seksualisert materiale"
"aggravating_falsk forklaring til offentlig myndighet",1,"aggravating_falsk forklaring til offentlig myndighet","aggravating","falsk forklaring til offentlig myndighet"
"aggravating_mishandling mot forsvarsløs person",1,"aggravating_mishandling mot forsvarsløs person","aggravating","mishandling mot forsvarsløs person"
"aggravating_ydmykende elementer",1,"aggravating_ydmykende elementer","aggravating","ydmykende elementer"
"aggravating_rusutløst vold",1,"aggravating_rusutløst vold","aggravating","rusutløst vold"
"aggravating_psykisk mishandling",1,"aggravating_psykisk mishandling","aggravating","psykisk mishandling"
"aggravating_ran av apotek",1,"aggravating_ran av apotek","aggravating","ran av apotek"
"aggravating_trakassering",1,"aggravating_trakassering","aggravating","trakassering"
"aggravating_manglende tillatelse til å erverve ammunisjon",1,"aggravating_manglende tillatelse til å erverve ammunisjon","aggravating","manglende tillatelse til å erverve ammunisjon"
"aggravating_manglende våpentillatelse",1,"aggravating_manglende våpentillatelse","aggravating","manglende våpentillatelse"
"aggravating_våpen og ammunisjon ikke forsvarlig innelåst",1,"aggravating_våpen og ammunisjon ikke forsvarlig innelåst","aggravating","våpen og ammunisjon ikke forsvarlig innelåst"
"aggravating_ulovlig innførsel av kniver",1,"aggravating_ulovlig innførsel av kniver","aggravating","ulovlig innførsel av kniver"
"aggravating_mishandling over lang tid",1,"aggravating_mishandling over lang tid","aggravating","mishandling over lang tid"
"aggravating_brudd på fartsgrensen",1,"aggravating_brudd på fartsgrensen","aggravating","brudd på fartsgrensen"
"aggravating_planlagt og overveid kriminalitet",1,"aggravating_planlagt og overveid kriminalitet","aggravating","planlagt og overveid kriminalitet"
"aggravating_kjøring på tettbygd område",1,"aggravating_kjøring på tettbygd område","aggravating","kjøring på tettbygd område"
"aggravating_utnyttelse av sårbare personer",1,"aggravating_utnyttelse av sårbare personer","aggravating","utnyttelse av sårbare personer"
"aggravating_betydelig strekning ruspåvirket",1,"aggravating_betydelig strekning ruspåvirket","aggravating","betydelig strekning ruspåvirket"
"aggravating_kjøring på tett trafikkert sted",1,"aggravating_kjøring på tett trafikkert sted","aggravating","kjøring på tett trafikkert sted"
"aggravating_utnyttet et tillitsforhold",1,"aggravating_utnyttet et tillitsforhold","aggravating","utnyttet et tillitsforhold"
"aggravating_seksuelle handlinger",1,"aggravating_seksuelle handlinger","aggravating","seksuelle handlinger"
"aggravating_barn under ti år",1,"aggravating_barn under ti år","aggravating","barn under ti år"
"aggravating_incest",1,"aggravating_incest","aggravating","incest"
"aggravating_seksuell handling under særdeles skjerpende omstendigheter",1,"aggravating_seksuell handling under særdeles skjerpende omstendigheter","aggravating","seksuell handling under særdeles skjerpende omstendigheter"
"aggravating_produksjon og besittelse av overgrepsmateriale",1,"aggravating_produksjon og besittelse av overgrepsmateriale","aggravating","produksjon og besittelse av overgrepsmateriale"
"aggravating_bruk av gjenstander til seksuell stimulering",1,"aggravating_bruk av gjenstander til seksuell stimulering","aggravating","bruk av gjenstander til seksuell stimulering"
"aggravating_seksuell omgang med stebarn",1,"aggravating_seksuell omgang med stebarn","aggravating","seksuell omgang med stebarn"
"aggravating_unnlot å stoppe for politikontroll",1,"aggravating_unnlot å stoppe for politikontroll","aggravating","unnlot å stoppe for politikontroll"
"aggravating_fartsovertredelser",1,"aggravating_fartsovertredelser","aggravating","fartsovertredelser"
"aggravating_pengene stammer fra narkotikasalg",1,"aggravating_pengene stammer fra narkotikasalg","aggravating","pengene stammer fra narkotikasalg"
"aggravating_vold/trusler mot offentlig tjenestemann",1,"aggravating_vold/trusler mot offentlig tjenestemann","aggravating","vold/trusler mot offentlig tjenestemann"
"aggravating_yrkesgruppe utsatt for vold",1,"aggravating_yrkesgruppe utsatt for vold","aggravating","yrkesgruppe utsatt for vold"
"aggravating_grovheten i overgrep",1,"aggravating_grovheten i overgrep","aggravating","grovheten i overgrep"
"aggravating_lang distanse",1,"aggravating_lang distanse","aggravating","lang distanse"
"aggravating_fremsatt trussel",1,"aggravating_fremsatt trussel","aggravating","fremsatt trussel"
"aggravating_vold mot særskilt utsatt yrkesgruppe",1,"aggravating_vold mot særskilt utsatt yrkesgruppe","aggravating","vold mot særskilt utsatt yrkesgruppe"
"aggravating_sentral rolle i straffbar virksomhet",1,"aggravating_sentral rolle i straffbar virksomhet","aggravating","sentral rolle i straffbar virksomhet"
"aggravating_vold som reaksjon på anmeldelse",1,"aggravating_vold som reaksjon på anmeldelse","aggravating","vold som reaksjon på anmeldelse"
"aggravating_forledelse",1,"aggravating_forledelse","aggravating","forledelse"
"aggravating_spredning",1,"aggravating_spredning","aggravating","spredning"
"aggravating_seksuell omgang med dyr",1,"aggravating_seksuell omgang med dyr","aggravating","seksuell omgang med dyr"
"aggravating_lav alder",1,"aggravating_lav alder","aggravating","lav alder"
"aggravating_alvorlige følger for fornærmede",1,"aggravating_alvorlige følger for fornærmede","aggravating","alvorlige følger for fornærmede"
"aggravating_mishandling over flere år",1,"aggravating_mishandling over flere år","aggravating","mishandling over flere år"
"aggravating_vanskelig å avdekke og oppklare",1,"aggravating_vanskelig å avdekke og oppklare","aggravating","vanskelig å avdekke og oppklare"
"aggravating_bruk av falske opplysninger og identiteter",1,"aggravating_bruk av falske opplysninger og identiteter","aggravating","bruk av falske opplysninger og identiteter"
"aggravating_kynisk og hensynsløs",1,"aggravating_kynisk og hensynsløs","aggravating","kynisk og hensynsløs"
"aggravating_nektet å oppgi personalia",1,"aggravating_nektet å oppgi personalia","aggravating","nektet å oppgi personalia"
"aggravating_bruk av våpenetterligning",1,"aggravating_bruk av våpenetterligning","aggravating","bruk av våpenetterligning"
"aggravating_tidligere dømt for vold",1,"aggravating_tidligere dømt for vold","aggravating","tidligere dømt for vold"
"aggravating_forfalskede dokumenter",1,"aggravating_forfalskede dokumenter","aggravating","forfalskede dokumenter"
"aggravating_fornærmede var i tiltaltes omsorg",1,"aggravating_fornærmede var i tiltaltes omsorg","aggravating","fornærmede var i tiltaltes omsorg"
"aggravating_overgrep over svært lang tid",1,"aggravating_overgrep over svært lang tid","aggravating","overgrep over svært lang tid"
"aggravating_forsøkt å ta seg inn i huset",1,"aggravating_forsøkt å ta seg inn i huset","aggravating","forsøkt å ta seg inn i huset"
"aggravating_forårsaket postdramatisk stress",1,"aggravating_forårsaket postdramatisk stress","aggravating","forårsaket postdramatisk stress"
"aggravating_ødelagt telefon",1,"aggravating_ødelagt telefon","aggravating","ødelagt telefon"
"aggravating_meget aggressiv adferd",1,"aggravating_meget aggressiv adferd","aggravating","meget aggressiv adferd"
"aggravating_flere av de ansatte i butikkene har vært redde",1,"aggravating_flere av de ansatte i butikkene har vært redde","aggravating","flere av de ansatte i butikkene har vært redde"
"aggravating_utnyttelse av en sårbar fornærmet",1,"aggravating_utnyttelse av en sårbar fornærmet","aggravating","utnyttelse av en sårbar fornærmet"
"aggravating_betydelig antall overgrep",1,"aggravating_betydelig antall overgrep","aggravating","betydelig antall overgrep"
"aggravating_flere typer av vold",1,"aggravating_flere typer av vold","aggravating","flere typer av vold"
"aggravating_fornærmede skulle ha følt trygghet",1,"aggravating_fornærmede skulle ha følt trygghet","aggravating","fornærmede skulle ha følt trygghet"
"aggravating_likegyldighet overfor vegtrafikklovens bestemmelser",1,"aggravating_likegyldighet overfor vegtrafikklovens bestemmelser","aggravating","likegyldighet overfor vegtrafikklovens bestemmelser"
"aggravating_egenprodusert materiale",1,"aggravating_egenprodusert materiale","aggravating","egenprodusert materiale"
"aggravating_spredning av overgrepsmateriale",1,"aggravating_spredning av overgrepsmateriale","aggravating","spredning av overgrepsmateriale"
"aggravating_særlig skjerpende omstendigheter",1,"aggravating_særlig skjerpende omstendigheter","aggravating","særlig skjerpende omstendigheter"
"aggravating_forulemping av tjenestemenn",1,"aggravating_forulemping av tjenestemenn","aggravating","forulemping av tjenestemenn"
"aggravating_misbruk av offentlige støtteordninger",1,"aggravating_misbruk av offentlige støtteordninger","aggravating","misbruk av offentlige støtteordninger"
